Date,Category,Description,Amount,Type
2025-06-21,Transport,Rideshare,24.77,expense
2025-06-22,Bills,Rent,550.0,expense
2025-06-23,Investment,Dividend payout,284.41,income
2025-06-24,Bills,Phone bill,12.57,expense
2025-06-25,Other,Miscellaneous expense,11.25,expense
2025-06-26,Other,Unexpected repair,7.44,expense
2025-06-28,Shopping,Jewerly,112.42,expense
2025-06-29,Shopping,Skincare,182.91,expense
2025-06-30,Bills,Water bill,30.85,expense
2025-07-01,Bills,Internet,27.8,expense
2025-07-02,Investment,Dividend payout,292.43,income
2025-07-04,Freelance,Invoice settlement,296.67,income
2025-07-05,Entertainment,Concert,16.93,expense
2025-07-06,Entertainment,Streaming service,52.42,expense
2025-07-07,Freelance,Project,532.65,income
2025-07-08,Transport,Train,24.46,expense
2025-07-09,Bills,Water bill,28.05,expense
2025-07-10,Shopping,Jewerly,151.3,expense
2025-07-11,Bills,Rent,550.0,expense
2025-07-13,Transport,Rideshare,53.89,expense
2025-07-14,Freelance,Invoice settlement,147.03,income
2025-07-15,Transport,Taxi,39.71,expense
2025-07-16,Shopping,Clothes,274.22,expense
2025-07-17,Health,Medication,31.7,expense
2025-07-18,Shopping,Groceries,125.77,expense
2025-07-19,Salary,Employer paycheck,2872.65,income
2025-07-20,Transport,Bus,17.65,expense
2025-07-21,Transport,Bus,38.21,expense
2025-07-22,Transport,Train,58.82,expense
2025-07-23,Bills,Electricity bill,42.66,expense
2025-07-24,Transport,Taxi,61.23,expense
2025-07-25,Transport,Bus,51.16,expense
2025-07-26,Other,Charity donation,39.66,expense
2025-07-27,Shopping,Groceries,228.86,expense
2025-07-28,Bills,Phone bill,33.84,expense
2025-07-29,Other,Charity donation,46.08,expense
2025-07-30,Transport,Taxi,24.65,expense
2025-07-31,Other,Household items,23.3,expense
2025-08-01,Shopping,Tools,99.56,expense
2025-08-02,Freelance,Project,491.61,income
2025-08-03,Freelance,Project,143.35,income
2025-08-04,Shopping,Jewerly,190.68,expense
2025-08-05,Freelance,Invoice settlement,173.0,income
2025-08-06,Shopping,Skincare,188.1,expense
2025-08-07,Shopping,Clothes,249.08,expense
2025-08-08,Entertainment,Nightout,28.94,expense
2025-08-09,Bills,Rent,550.0,expense
2025-08-10,Entertainment,Concert,38.08,expense
2025-08-12,Transport,Train,27.82,expense
2025-08-14,Transport,Gas,10.05,expense
2025-08-15,Transport,Bus,51.52,expense
2025-08-16,Transport,Gas,8.94,expense
2025-08-17,Transport,Rideshare,25.92,expense
2025-08-19,Bills,Phone bill,21.13,expense
2025-08-20,Bills,Electricity bill,42.16,expense
2025-08-22,Investment,Dividend payout,348.38,income
2025-08-23,Health,Accessories,29.34,expense
2025-08-24,Transport,Taxi,57.85,expense
2025-08-25,Bills,Internet,27.8,expense
2025-08-26,Bills,Water bill,14.38,expense
2025-08-27,Transport,Train,54.65,expense
2025-08-28,Transport,Train,10.57,expense
2025-08-29,Other,Miscellaneous expense,14.09,expense
2025-08-30,Other,Unexpected repair,38.93,expense
2025-08-31,Salary,Employer paycheck,3003.63,income
2025-09-01,Entertainment,Nightout,41.32,expense
2025-09-02,Entertainment,Streaming service,5.6,expense
2025-09-03,Freelance,Project,308.83,income
2025-09-04,Transport,Bus,5.2,expense
2025-09-05,Freelance,Project,106.9,income
2025-09-06,Bills,Water bill,26.93,expense
2025-09-07,Investment,Dividend payout,382.64,income
2025-09-08,Shopping,Groceries,22.92,expense
2025-09-09,Transport,Rideshare,43.73,expense
2025-09-10,Freelance,Project,480.47,income
2025-09-11,Bills,Internet,27.8,expense
2025-09-12,Transport,Bus,28.19,expense
2025-09-13,Health,Medication,15.71,expense
2025-09-15,Bills,Rent,550.0,expense
2025-09-15,Bills,Phone bill,13.03,expense
2025-09-17,Shopping,Clothes,125.85,expense
2025-09-19,Transport,Gas,21.54,expense
2025-09-20,Shopping,Tools,238.23,expense
2025-09-21,Shopping,Groceries,218.28,expense
2025-09-22,Salary,Employer paycheck,2836.98,income
2025-09-23,Transport,Gas,3.13,expense
2025-09-24,Transport,Train,16.39,expense
2025-09-25,Transport,Rideshare,9.88,expense
2025-09-26,Transport,Rideshare,22.86,expense
2025-09-28,Other,Unexpected repair,21.19,expense
2025-09-29,Bills,Electricity bill,37.32,expense
2025-09-30,Other,Unexpected repair,26.18,expense
2025-10-01,Shopping,Baking supplies,97.71,expense
2025-10-02,Shopping,Groceries,217.59,expense
2025-10-03,Bills,Phone bill,11.28,expense
2025-10-04,Shopping,Groceries,187.92,expense
2025-10-05,Salary,Employer paycheck,2934.04,income
2025-10-06,Investment,Dividend payout,220.42,income
2025-10-07,Shopping,Groceries,212.71,expense
2025-10-08,Entertainment,Streaming service,20.1,expense
2025-10-09,Health,Accessories,22.61,expense
2025-10-11,Bills,Water bill,14.08,expense
2025-10-12,Bills,Internet,27.8,expense
2025-10-13,Entertainment,Nightout,17.17,expense
2025-10-14,Freelance,Project,293.07,income
2025-10-16,Bills,Rent,550.0,expense
2025-10-17,Bills,Electricity bill,26.12,expense
